comm_id,name,cntr_code,osm_id_commune,osm_name,osm_role_point,lon,lat,NUTS23_id,osm_id_NUTS23
BE232010,Koekelare,BE,1269847,Koekelare,admin_centre,2.978449,51.090156,BE25,416271
FR2108414220,Hauviné,FR,1271527,Hauviné,admin_centre,4.400678,49.303449,FR211,7395
FR2108213320,La Neuville-en-Tourne-à-Fuy,FR,1273383,La Neuville-en-Tourne-à-Fuy,admin_centre,4.375142,49.346704,FR211,7395
BE213040,Turnhout,BE,1274122,Turnhout,admin_centre,4.948470,51.323382,BE21,53114
BE233029,Wervik,BE,1274190,Wervik,admin_centre,3.043836,50.778020,BE25,416271
BE213035,Ravels,BE,1274221,Ravels,admin_centre,4.995542,51.371610,BE21,53114
BE213031,Oud-Turnhout,BE,1274222,Oud-Turnhout,admin_centre,4.981709,51.317832,BE21,53114
BE213001,Arendonk,BE,1274223,Arendonk,admin_centre,5.086456,51.320231,BE21,53114
BE213011,Herentals,BE,1275056,Herentals,admin_centre,4.836259,51.176543,BE21,53114
BE211057,Malle,BE,1277900,Malle,admin_centre,4.714983,51.300112,BE21,53114
BE211054,Zandhoven,BE,1277901,Zandhoven,admin_centre,4.659510,51.214792,BE21,53114
BE213037,Rijkevorsel,BE,1277952,Rijkevorsel,admin_centre,4.760708,51.349505,BE21,53114
BE211009,Brecht,BE,1277957,Brecht,admin_centre,4.639343,51.349558,BE21,53114
BE213049,Westerlo,BE,1282302,Westerlo,admin_centre,4.916868,51.086694,BE21,53114
BE213013,Herselt,BE,1282303,Herselt,admin_centre,4.883265,51.053503,BE21,53114
BE213016,Hulshout,BE,1282313,Hulshout,admin_centre,4.788546,51.075392,BE21,53114
BE213029,Olen,BE,1282320,Olen,admin_centre,4.859726,51.143861,BE21,53114
BE213017,Kasterlee,BE,1282971,Kasterlee,admin_centre,4.967812,51.240792,BE21,53114
BE213019,Lille,BE,1282972,Lille,admin_centre,4.824240,51.238218,BE21,53114
BE213046,Vosselaar,BE,1283041,Vosselaar,admin_centre,4.887803,51.312915,BE21,53114
