"","id","x","y"
"421","IT501",15.50990646,38.19068008
"422","IT504",10.34763464,43.52230532
"423","IT506",12.19334625,44.41351334
"424","IT508",12.53042406,44.03813743
"425","IT511",9.66351364,45.69740126
"426","IT513",12.87818712,41.46621721
"427","IT515",12.66043707,42.57957313
"428","LT502",23.32395047,55.9051357
"429","LV501",26.54325743,55.8913887
"430","NL504",5.3850171,52.17409398
"431","NL506",4.70892248,51.78156558
"432","NL511",6.1184366,52.51858513
"433","NL513",6.21446694,52.27308221
"434","NL515",6.14447312,51.36236032
"435","NL520",5.37465338,52.5428016
"436","PL512",19.4388188,54.19107226
"437","PL514",20.97313761,50.02464544
"438","PL516",16.16884278,51.20127156
"439","PT506",-8.51079393,40.96679369
"440","SE501",16.56748452,59.6281535
"441","SE503",12.78637819,56.06613417
"442","UK510",-1.45230054,54.88034316
"443","UK516",-4.11809467,50.39148765
"444","UK528",-0.8865068,52.24174653
"445","UK532",-0.42451509,51.89424076
"446","UK535",-1.74470054,51.57146767
"447","UK539",-1.85727026,50.74183157
"448","UK542",-2.4887567,52.73020616
"449","UK546",0.85856323,51.87567809
"450","UK548",-1.2007066,51.27357896
"451","UK551",-3.79767566,55.99523891
"452","UK553",-3.02882408,53.81793013
"453","UK555",-1.96451616,50.74466567
"454","UK558",-2.96724179,51.57894823
"455","UK560",-1.24004899,51.75389912
"456","UK562",-2.6969731,53.81194581
"457","UK569",1.16028369,52.05533618
"458","UK571",-2.07343587,51.89675144
"459","UK576",-0.18210376,51.12510151
"460","IE004",-9.05001324,53.28345447
